,Organ,Cell Type,Time Point,Condition,Source,Cell Count,Original Labels
Mammary Gland Secretory alveoli cell WK6-10 [lactation Retnla high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Retnla high,MC20,149,Secretory alveoli cell_Retnla high(Mammary-Gland-Lactation)
Heart Neutrophil P1 [Ngp high] (MC20),Heart,Neutrophil,P1,Ngp high,MC20,36,Neutrophil_Ngp high(Neonatal-Heart)
Ovary Granulosa cell WK6-10 [Inhba high] (MC20),Ovary,Granulosa cell,WK6-10,Inhba high,MC20,236,Granulosa cell_Inhba high(Ovary)
Stomach Hepatocyte Like Cell E14.5 (MC20),Stomach,Hepatocyte Like Cell,E14.5,,MC20,13,Hepatocyte-Like Cell (Fetal_Stomache)
Small Intestine Macrophage WK6-10 [Apoe high] (MC20),Small Intestine,Macrophage,WK6-10,Apoe high,MC20,154,Macrophage_Apoe high(Small-Intestine)
Kidney Dendritic cell WK6-10 [Cst3 high] (MC20),Kidney,Dendritic cell,WK6-10,Cst3 high,MC20,36,Dendritic cell_Cst3 high(Kidney)
Mammary Gland Endothelial cell WK6-10 [pregnancy] (MC20),Mammary Gland,Endothelial cell,WK6-10,pregnancy,MC20,19,Endothelial cell(Mammary-Gland-Pregrancy)
Male  Gonad Leydig cells E14.5 (MC20),Male  Gonad,Leydig cells,E14.5,,MC20,228,Leydig cells(Male_Fetal_Gonad)
Stomach Stromal cell E14.5 [Dcn high] (MC20),Stomach,Stromal cell,E14.5,Dcn high,MC20,708,Stromal cell_Dcn high(Fetal_Stomache)
Heart Neutrophil P1 [Retnlg high] (MC20),Heart,Neutrophil,P1,Retnlg high,MC20,29,Neutrophil_Retnlg high(Neonatal-Heart)
Kidney Epithelial cell E14.5 (MC20),Kidney,Epithelial cell,E14.5,,MC20,0,Epithelial cell(Fetal_Kidney)
Spleen Dendritic cell WK6-10 [Siglech high] (MC20),Spleen,Dendritic cell,WK6-10,Siglech high,MC20,18,Dendritic cell_Siglech high(Spleen)
Calvaria Dividng cell P1 (MC20),Calvaria,Dividng cell,P1,,MC20,184,Dividng cell(Neonatal-Calvaria)
Thymus Proliferating thymocyte WK6-10 (MC20),Thymus,Proliferating thymocyte,WK6-10,,MC20,403,Proliferating thymocyte(Thymus)
Brain Macrophage WK6-10 [Klf2 high] (MC20),Brain,Macrophage,WK6-10,Klf2 high,MC20,88,Macrophage_Klf2 high(Brain)
Lung Epithelial cell E14.5 [Aldh1a2 high] (MC20),Lung,Epithelial cell,E14.5,Aldh1a2 high,MC20,90,Epithelial cell_Aldh1a2_high(Fetal_Lung)
Rib Cartilage cell P1 [Ppa1 high] (MC20),Rib,Cartilage cell,P1,Ppa1 high,MC20,351,Cartilage cell_Ppa1 high(Neonatal-Rib)
Uterus Stromal cell WK6-10 [Hsd11b2 high] (MC20),Uterus,Stromal cell,WK6-10,Hsd11b2 high,MC20,563,Stromal cell_Hsd11b2 high(Uterus)
Testis Preleptotene spermatogonia WK6-10 (MC20),Testis,Preleptotene spermatogonia,WK6-10,,MC20,637,Preleptotene spermatogonia(Testis)
Mammary Gland Secretory alveoli cell WK6-10 [pregnancy] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,pregnancy,MC20,234,Secretory alveoli cell(Mammary-Gland-Pregrancy)
Placenta Endodermal cell WK6-10 [Afp high] (MC20),Placenta,Endodermal cell,WK6-10,Afp high,MC20,80,Endodermal cell_Afp high(Placenta)
Muscle Neutrophil WK6-10 [Retnlg high] (MC20),Muscle,Neutrophil,WK6-10,Retnlg high,MC20,137,Neutrophil_Retnlg high(Muscle)
Liver Granulocyte WK6-10 (MC20),Liver,Granulocyte,WK6-10,,MC20,194,Granulocyte(Liver)
Peripheral Blood T cell WK6-10 [Trbc2 high] (MC20),Peripheral Blood,T cell,WK6-10,Trbc2 high,MC20,1557,T cell_Trbc2 high(Peripheral_Blood)
Kidney Stromal cell E14.5 [Dlk1 high] (MC20),Kidney,Stromal cell,E14.5,Dlk1 high,MC20,0,Stromal cell_Dlk1 high(Fetal_Kidney)
liver Hepatocyte E14.5 [Afp high] (MC20),liver,Hepatocyte,E14.5,Afp high,MC20,52,Hepatocyte_Afp high(Fetal-liver)
Uterus Glandular epithelium WK6-10 [Sprr2f high] (MC20),Uterus,Glandular epithelium,WK6-10,Sprr2f high,MC20,187,Glandular epithelium_Sprr2f high(Uterus)
Pancreas Granulocyte WK6-10 (MC20),Pancreas,Granulocyte,WK6-10,,MC20,13,Granulocyte(Pancreas)
Bone Marrow Neutrophil WK6-10 [Ngp high] (MC20),Bone Marrow,Neutrophil,WK6-10,Ngp high,MC20,36,Neutrophil_Ngp high(Bone-Marrow)
Muscle Glial cell P1 (MC20),Muscle,Glial cell,P1,,MC20,60,Glial cell(Neonatal-Muscle)
Pancreas Erythroblast P1 [Ftl1 high] (MC20),Pancreas,Erythroblast,P1,Ftl1 high,MC20,18,Erythroblast_Ftl1 high(NeonatalPancreas)
Liver Dendritic cell WK6-10 [Siglech high] (MC20),Liver,Dendritic cell,WK6-10,Siglech high,MC20,90,Dendritic cell_Siglech high(Liver)
PP Periportal WK6-10 (MC20),PP,Periportal,WK6-10,,MC20,26,Periportal (PP) hepatocyte(Liver)
Bladder Smooth muscle cell WK6-10 (MC20),Bladder,Smooth muscle cell,WK6-10,,MC20,131,Smooth muscle cell(Bladder)
Lung Conventional dendritic cell WK6-10 [Mgl2 high] (MC20),Lung,Conventional dendritic cell,WK6-10,Mgl2 high,MC20,161,Conventional dendritic cell_Mgl2 high(Lung)
Testis Spermatids WK6-10 [Cst13 high] (MC20),Testis,Spermatids,WK6-10,Cst13 high,MC20,830,Spermatids_Cst13 high(Testis)
Trophoblast Stem Cell MEF WK6-10 (MC20),Trophoblast Stem Cell,MEF,WK6-10,,MC20,854,MEF(Trophoblast-Stem-Cell)
Rib Stromal cell P1 [Tnmd high] (MC20),Rib,Stromal cell,P1,Tnmd high,MC20,236,Stromal cell_Tnmd high(Neonatal-Rib)
Calvaria Muscle cell P1 [Myl9 high] (MC20),Calvaria,Muscle cell,P1,Myl9 high,MC20,28,Muscle cell_Myl9 high(Neonatal-Calvaria)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Pa2g4 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Pa2g4 high,MC20,134,Secretory alveoli cell_Pa2g4 high(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Wfdc17 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Wfdc17 high,MC20,215,Secretory alveoli cell_Wfdc17 high(Mammary-Gland-Lactation)
Small Intestine S cell WK6-10 [Chgb high] (MC20),Small Intestine,S cell,WK6-10,Chgb high,MC20,27,S cell_Chgb high(Small-Intestine)
Brain Microglia E14.5 (MC20),Brain,Microglia,E14.5,,MC20,79,Microglia(Fetal_Brain)
Mammary Gland Macrophage WK6-10 [lactation Cd74 high] (MC20),Mammary Gland,Macrophage,WK6-10,lactation Cd74 high,MC20,196,Macrophage_Cd74 high(Mammary-Gland-Lactation)
Pancreas Beta cell WK6-10 (MC20),Pancreas,Beta cell,WK6-10,,MC20,125,β-cell(Pancreas)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Cide&Wfdc3&Wap high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Cide&Wfdc3&Wap high,MC20,300,Secretory alveoli cell_Cide&Wfdc3&Wap high(Mammary-Gland-Lactation)
Rib Neuron P1 [Mpz high] (MC20),Rib,Neuron,P1,Mpz high,MC20,33,Neuron_Mpz high(Neonatal-Rib)
Spleen Erythroblast WK6-10 (MC20),Spleen,Erythroblast,WK6-10,,MC20,10,Erythroblast(Spleen)
Spleen Granulocyte WK6-10 (MC20),Spleen,Granulocyte,WK6-10,,MC20,35,Granulocyte(Spleen)
Mammary Gland Natural kill cell WK6-10 [lactation] (MC20),Mammary Gland,Natural kill cell,WK6-10,lactation,MC20,204,Natural kill cell(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Tmsb10 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Tmsb10 high,MC20,168,Secretory alveoli cell_Tmsb10 high(Mammary-Gland-Lactation)
Ovary Cumulus cell WK6-10 [Car14 high] (MC20),Ovary,Cumulus cell,WK6-10,Car14 high,MC20,602,Cumulus cell_Car14 high(Ovary)
Uterus Endothelial cell WK6-10 [Cldn5 high] (MC20),Uterus,Endothelial cell,WK6-10,Cldn5 high,MC20,29,Endothelial cell_Cldn5 high(Uterus)
Placenta Spiral artery trophoblast giant cells WK6-10 (MC20),Placenta,Spiral artery trophoblast giant cells,WK6-10,,MC20,283,Spiral artery trophoblast giant cells(Placenta)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Ifi27l2a high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Ifi27l2a high,MC20,45,Secretory alveoli cell_Ifi27l2a_high(Mammary-Gland-Lactation)
Lung Monocyte progenitor cell WK6-10 (MC20),Lung,Monocyte progenitor cell,WK6-10,,MC20,13,Monocyte progenitor cell(Lung)
Mammary Gland Stem and progenitor cell WK6-10 [virgin] (MC20),Mammary Gland,Stem and progenitor cell,WK6-10,virgin,MC20,145,Stem and progenitor cell(Mammary-Gland-Virgin)
Kidney Macrophage WK6-10 [Lyz2 high] (MC20),Kidney,Macrophage,WK6-10,Lyz2 high,MC20,62,Macrophage_Lyz2 high(Kidney)
Kidney Adipocyte E14.5 (MC20),Kidney,Adipocyte,E14.5,,MC20,2,Adipocyte(Fetal_Kidney)
Kidney Intercalated cells of collecting duct WK6-10 [Aqp6 high] (MC20),Kidney,Intercalated cells of collecting duct,WK6-10,Aqp6 high,MC20,270,Intercalated cells of collecting duct_Aqp6 high(Kidney)
Male  Gonad Th cell E14.5 (MC20),Male  Gonad,Th cell,E14.5,,MC20,101,Th cell(Male_Fetal_Gonad)
Muscle Neutrophil WK6-10 [Prg2 high] (MC20),Muscle,Neutrophil,WK6-10,Prg2 high,MC20,8,Neutrophil_Prg2 high(Muscle)
Placenta Macrophage WK6-10 [Apoe high] (MC20),Placenta,Macrophage,WK6-10,Apoe high,MC20,192,Macrophage_Apoe high(Placenta)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Fth1&Wfdc3 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Fth1&Wfdc3 high,MC20,345,Secretory alveoli cell_Fth1&Wfdc3 high(Mammary-Gland-Lactation)
Ovary Granulosa cell WK6-10 [Kctd14 high] (MC20),Ovary,Granulosa cell,WK6-10,Kctd14 high,MC20,241,Granulosa cell_Kctd14 high(Ovary)
Uterus Glandular epithelium WK6-10 [Ltf high] (MC20),Uterus,Glandular epithelium,WK6-10,Ltf high,MC20,66,Glandular epithelium_Ltf high(Uterus)
Brain Pyramidal neuron cell P1 (MC20),Brain,Pyramidal neuron cell,P1,,MC20,0,Pyramidal neuron cell(Neonatal_Brain)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Dnajb1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Dnajb1 high,MC20,212,Secretory alveoli cell_Dnajb1 high(Mammary-Gland-Lactation)
Muscle Muscle progenitor cell WK6-10 (MC20),Muscle,Muscle progenitor cell,WK6-10,,MC20,87,Muscle progenitor cell(Muscle)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Tmem123 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Tmem123 high,MC20,81,Secretory alveoli cell_Tmem123 high(Mammary-Gland-Lactation)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Gadd45b high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Gadd45b high,MC20,82,Secretory alveoli cell_Gadd45b high(Mammary-Gland-Lactation)
Placenta Granulocyte WK6-10 [Neat1 high] (MC20),Placenta,Granulocyte,WK6-10,Neat1 high,MC20,40,Granulocyte_Neat1 high(Placenta)
Liver Kuppfer cell WK6-10 (MC20),Liver,Kuppfer cell,WK6-10,,MC20,1046,Kuppfer cell(Liver)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Hspa1a high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Hspa1a high,MC20,219,Secretory alveoli cell_Hspa1a high(Mammary-Gland-Lactation)
Mammary Gland B cell WK6-10 [virgin Jchain high] (MC20),Mammary Gland,B cell,WK6-10,virgin Jchain high,MC20,9,B cell_Jchain high(Mammary-Gland-Virgin)
Rib Neutrophil P1 [Elane high] (MC20),Rib,Neutrophil,P1,Elane high,MC20,82,Neutrophil_Elane high(Neonatal-Rib)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Sars high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Sars high,MC20,86,Secretory alveoli cell_Sars high(Mammary-Gland-Lactation)
liver Stem and progenitor cell E14.5 (MC20),liver,Stem and progenitor cell,E14.5,,MC20,174,Stem and progenitor cell(Fetal-liver)
Stomach Erythroblast Hba x HIGH E14.5 (MC20),Stomach,Erythroblast Hba x HIGH,E14.5,,MC20,378,Erythroblast_Hba-x HIGH(Fetal_Stomache)
Calvaria Mast cell P1 (MC20),Calvaria,Mast cell,P1,,MC20,98,Mast cell(Neonatal-Calvaria)
Bone Marrow c kit Neutrophil WK6-10 [Fcnb high] (MC20),Bone Marrow c kit,Neutrophil,WK6-10,Fcnb high,MC20,2357,Neutrophil_Fcnb high(Bone-Marrow_c-kit)
Skin Macrophage P1 [Lyz2 high] (MC20),Skin,Macrophage,P1,Lyz2 high,MC20,17,Macrophage_Lyz2 high(Neonatal-Skin)
Bone Marrow c kit Monocyte progenitor cell WK6-10 [Ctsg high] (MC20),Bone Marrow c kit,Monocyte progenitor cell,WK6-10,Ctsg high,MC20,2223,Monocyte progenitor cell_Ctsg high(Bone-Marrow_c-kit)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Prkcsh high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Prkcsh high,MC20,106,Secretory alveoli cell_Prkcsh high(Mammary-Gland-Lactation)
Small Intestine Epithelial cell WK6-10 [Sh2d6 high] (MC20),Small Intestine,Epithelial cell,WK6-10,Sh2d6 high,MC20,43,Epithelial cell_Sh2d6 high(Small-Intestine)
Lung Smooth muscle cell E14.5 (MC20),Lung,Smooth muscle cell,E14.5,,MC20,370,Smooth muscle cell(Fetal_Lung)
Peripheral Blood Neutrophil WK6-10 [Il1b high] (MC20),Peripheral Blood,Neutrophil,WK6-10,Il1b high,MC20,406,Neutrophil_Il1b high(Peripheral_Blood)
Spleen Macrophage WK6-10 (MC20),Spleen,Macrophage,WK6-10,,MC20,26,Macrophage(Spleen)
Pancreas Smooth muscle cell WK6-10 [Rgs5 high] (MC20),Pancreas,Smooth muscle cell,WK6-10,Rgs5 high,MC20,24,Smooth muscle cell_Rgs5 high(Pancreas)
Uterus Dendritic cell WK6-10 (MC20),Uterus,Dendritic cell,WK6-10,,MC20,131,Dendritic cell(Uterus)
Brain Neuron E14.5 [tuba1c high] (MC20),Brain,Neuron,E14.5,tuba1c high,MC20,292,Neuron_tuba1c high(Fetal_Brain)
Bone Marrow c kit Neutrophil WK6-10 [Retnlg high] (MC20),Bone Marrow c kit,Neutrophil,WK6-10,Retnlg high,MC20,336,Neutrophil_Retnlg high(Bone-Marrow_c-kit)
Testis Spermatocyte WK6-10 [Calm2 high] (MC20),Testis,Spermatocyte,WK6-10,Calm2 high,MC20,1059,Spermatocyte_Calm2 high(Testis)
Pancreas Endocrine cell WK6-10 (MC20),Pancreas,Endocrine cell,WK6-10,,MC20,82,Endocrine cell(Pancreas)
Prostate Epithelial cell WK6-10 (MC20),Prostate,Epithelial cell,WK6-10,,MC20,68,Epithelial cell(Prostate)
Stomach Stomach cell E14.5 [Kazald1 high] (MC20),Stomach,Stomach cell,E14.5,Kazald1 high,MC20,284,Stomach cell_Kazald1 high(Fetal_Stomache)
Stomach Stromal cell E14.5 [Cdkn1c high] (MC20),Stomach,Stromal cell,E14.5,Cdkn1c high,MC20,525,Stromal cell_Cdkn1c high(Fetal_Stomache)
Skin Stromal cell P1 [Gas6 high] (MC20),Skin,Stromal cell,P1,Gas6 high,MC20,382,Stromal cell_Gas6 high(Neonatal-Skin)
Rib Osteoblast P1 (MC20),Rib,Osteoblast,P1,,MC20,73,Osteoblast(Neonatal-Rib)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Taf1d high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Taf1d high,MC20,57,Secretory alveoli cell_Taf1d high(Mammary-Gland-Lactation)
Kidney Distal convoluted tubule WK6-10 [Pvalb high] (MC20),Kidney,Distal convoluted tubule,WK6-10,Pvalb high,MC20,353,Distal convoluted tubule_Pvalb high(Kidney)
Bone Marrow Mesenchyme Erythrocytes WK6-10 (MC20),Bone Marrow Mesenchyme,Erythrocytes,WK6-10,,MC20,929,Erythrocytes(Bone_Marrow_Mesenchyme)
Mesenchyme Neutrophil E14.5 (MC20),Mesenchyme,Neutrophil,E14.5,,MC20,11,Neutrophil(Embryonic-Mesenchyme)
Brain Stromal cell E14.5 (MC20),Brain,Stromal cell,E14.5,,MC20,97,Stromal cell(Fetal_Brain)
Mammary Gland Mast cell WK6-10 [involution] (MC20),Mammary Gland,Mast cell,WK6-10,involution,MC20,11,Mast cell(Mammary-Gland-Involution)
Intestine Macrophage E14.5 [Lyz2 high] (MC20),Intestine,Macrophage,E14.5,Lyz2 high,MC20,285,Macrophage_Lyz2 high(Fetal_Intestine)
Lung Erythroblast E14.5 [Hba-x high] (MC20),Lung,Erythroblast,E14.5,Hba-x high,MC20,239,Erythroblast_Hba-x high(Fetal_Lung)
Stomach Dendritic cell WK6-10 (MC20),Stomach,Dendritic cell,WK6-10,,MC20,19,Dendritic cell(Stomach)
Bone Marrow c kit Monocyte progenitor cell WK6-10 [Prtn3 high] (MC20),Bone Marrow c kit,Monocyte progenitor cell,WK6-10,Prtn3 high,MC20,2627,Monocyte progenitor cell_Prtn3 high(Bone-Marrow_c-kit)
Brain Dopaminergic neurons E14.5 (MC20),Brain,Dopaminergic neurons,E14.5,,MC20,256,Dopaminergic neurons (Fetal_Brain)
Lung Neutrophil granulocyte WK6-10 (MC20),Lung,Neutrophil granulocyte,WK6-10,,MC20,70,Neutrophil granulocyte(Lung)
Mammary Gland Secretory alveoli cell WK6-10 [lactation S100a11 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation S100a11 high,MC20,53,Secretory alveoli cell_S100a11 high(Mammary-Gland-Lactation)
Stomach Neuron E14.5 (MC20),Stomach,Neuron,E14.5,,MC20,93,Neuron(Fetal_Stomache)
liver Neutrophil E14.5 [Elane high] (MC20),liver,Neutrophil,E14.5,Elane high,MC20,249,Neutrophil_Elane high(Fetal-liver)
Calvaria Muscle cell P1 [Actc1 high] (MC20),Calvaria,Muscle cell,P1,Actc1 high,MC20,32,Muscle cell_Actc1 high(Neonatal-Calvaria)
Placenta Basophil WK6-10 (MC20),Placenta,Basophil,WK6-10,,MC20,41,Basophil(Placenta)
Bladder Dendritic cell WK6-10 [Lyz2 high] (MC20),Bladder,Dendritic cell,WK6-10,Lyz2 high,MC20,41,Dendritic cell_Lyz2 high(Bladder)
Brain Stromal cell P1 [Dcn high] (MC20),Brain,Stromal cell,P1,Dcn high,MC20,0,Stromal cell_Dcn high(Neonatal_Brain)
Mammary Gland Stromal cell WK6-10 [involution] (MC20),Mammary Gland,Stromal cell,WK6-10,involution,MC20,780,Stromal cell(Mammary-Gland-Involution)
Liver Stromal cell WK6-10 (MC20),Liver,Stromal cell,WK6-10,,MC20,18,Stromal cell(Liver)
Muscle Granulocyte monocyte progenitor cell WK6-10 (MC20),Muscle,Granulocyte monocyte progenitor cell,WK6-10,,MC20,83,Granulocyte monocyte progenitor cell(Muscle)
Lung Neutrophil E14.5 [Gm5483 high] (MC20),Lung,Neutrophil,E14.5,Gm5483 high,MC20,96,Neutrophil_Gm5483 high(Fetal_Lung)
liver Neutrophil E14.5 [Ngp high] (MC20),liver,Neutrophil,E14.5,Ngp high,MC20,61,Neutrophil_Ngp high(Fetal-liver)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Gpx3 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Gpx3 high,MC20,203,Secretory alveoli cell_Gpx3 high(Mammary-Gland-Lactation)
Prostate Prostate gland cell WK6-10 (MC20),Prostate,Prostate gland cell,WK6-10,,MC20,2223,Prostate gland cell(Prostate)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Igkv1-117 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Igkv1-117 high,MC20,151,Secretory alveoli cell_Igkv1-117 high(Mammary-Gland-Lactation)
Brain Neural progenitor cell E14.5 (MC20),Brain,Neural progenitor cell,E14.5,,MC20,325,Neural progenitor cell(Fetal_Brain)
Lung Macrophage Pf4high E14.5 [Pf high] (MC20),Lung,Macrophage Pf4high,E14.5,Pf high,MC20,126,Macrophage_Pf4high(Fetal_Lung)
Placenta Megakaryocyte progenitor cell WK6-10 (MC20),Placenta,Megakaryocyte progenitor cell,WK6-10,,MC20,21,Megakaryocyte progenitor cell(Placenta)
Placenta HSPC WK6-10 [Lmo2 high] (MC20),Placenta,HSPC,WK6-10,Lmo2 high,MC20,39,HSPC_Lmo2 high(Placenta)
Kidney Metanephric mesenchyme E14.5 (MC20),Kidney,Metanephric mesenchyme,E14.5,,MC20,3,Metanephric mesenchyme(Fetal_Kidney)
Stomach Erythroblast E14.5 [Klf1 high] (MC20),Stomach,Erythroblast,E14.5,Klf1 high,MC20,350,Erythroblast_Klf1 high(Fetal_Stomache)
Liver B cell WK6-10 [Fcmr high] (MC20),Liver,B cell,WK6-10,Fcmr high,MC20,97,B cell_Fcmr high(Liver)
Pancreas Dendritic cell P1 (MC20),Pancreas,Dendritic cell,P1,,MC20,40,Dendritic cell(NeonatalPancreas)
Rib Dividing cell P1 (MC20),Rib,Dividing cell,P1,,MC20,67,Dividing cell(Neonatal-Rib)
Female  Gonad Stromal cell E14.5 (MC20),Female  Gonad,Stromal cell,E14.5,,MC20,0,Stromal cell(Female_Fetal_Gonad)
Mesenchyme Neuron E14.5 [Igfbpl1 high] (MC20),Mesenchyme,Neuron,E14.5,Igfbpl1 high,MC20,213,Neuron_Igfbpl1 high(Embryonic-Mesenchyme)
Mammary Gland Adiocyte cell WK6-10 [lactation] (MC20),Mammary Gland,Adiocyte cell,WK6-10,lactation,MC20,244,Adiocyte cell(Mammary-Gland-Lactation)
Skin Macrophage P1 [Cd74 high] (MC20),Skin,Macrophage,P1,Cd74 high,MC20,18,Macrophage_Cd74 high(Neonatal-Skin)
Small Intestine Stromal cell WK6-10 [Dcn high] (MC20),Small Intestine,Stromal cell,WK6-10,Dcn high,MC20,23,Stromal cell_Dcn high(Small-Intestine)
Brain Neurons P1 (MC20),Brain,Neurons,P1,,MC20,0,Neurons(Neonatal_Brain)
Testis Spermatogonia WK6-10 [1700001P01Rik high] (MC20),Testis,Spermatogonia,WK6-10,1700001P01Rik high,MC20,987,Spermatogonia_1700001P01Rik high(Testis)
Lung Endothelial cell WK6-10 [Kdr high] (MC20),Lung,Endothelial cell,WK6-10,Kdr high,MC20,104,Endothelial cell_Kdr high(Lung)
Mammary Gland B cell WK6-10 [virgin Cd79a&Iglc2 high] (MC20),Mammary Gland,B cell,WK6-10,virgin Cd79a&Iglc2 high,MC20,742,B cell_Cd79a&Iglc2 high(Mammary-Gland-Virgin)
Lung Conventional dendritic cell WK6-10 [Gngt2 high] (MC20),Lung,Conventional dendritic cell,WK6-10,Gngt2 high,MC20,161,Conventional dendritic cell_Gngt2 high(Lung)
Pancreas Neutrophil P1 [Rps27 high] (MC20),Pancreas,Neutrophil,P1,Rps27 high,MC20,25,Neutrophil_Rps27 high(NeonatalPancreas)
Mammary Gland NK cell WK6-10 [pregnancy Gzma high] (MC20),Mammary Gland,NK cell,WK6-10,pregnancy Gzma high,MC20,143,NK cell_Gzma high(Mammary-Gland-Pregrancy)
Brain Hippocampus neurons E14.5 [Asic4 high] (MC20),Brain,Hippocampus neurons,E14.5,Asic4 high,MC20,228,Hippocampus neurons_Asic4 high(Fetal_Brain)
Mammary Gland Secretory alveoli cell WK6-10 [lactation Spp1 high] (MC20),Mammary Gland,Secretory alveoli cell,WK6-10,lactation Spp1 high,MC20,201,Secretory alveoli cell_Spp1 high(Mammary-Gland-Lactation)
Ovary Macrophage WK6-10 [Lyz2 high] (MC20),Ovary,Macrophage,WK6-10,Lyz2 high,MC20,87,Macrophage_Lyz2 high(Ovary)
Intestine Enterocyte progenitor E14.5 (MC20),Intestine,Enterocyte progenitor,E14.5,,MC20,868,Enterocyte progenitor(Fetal_Intestine)
Bone Marrow Mesenchyme Stromal cell WK6-10 [Col10a1 high] (MC20),Bone Marrow Mesenchyme,Stromal cell,WK6-10,Col10a1 high,MC20,65,Stromal cell_Col10a1_high(Bone_Marrow_Mesenchyme)
Calvaria Neuron P1 (MC20),Calvaria,Neuron,P1,,MC20,156,Neuron(Neonatal-Calvaria)
Muscle Endothelial cell P1 (MC20),Muscle,Endothelial cell,P1,,MC20,152,Endothelial cell(Neonatal-Muscle)
Pancreas Monocyte P1 (MC20),Pancreas,Monocyte,P1,,MC20,165,Monocyte(NeonatalPancreas)
Liver Epithelial cell WK6-10 (MC20),Liver,Epithelial cell,WK6-10,,MC20,15,Epithelial cell(Liver)
Small Intestine T cell WK6-10 [Icos high] (MC20),Small Intestine,T cell,WK6-10,Icos high,MC20,231,T cell_Icos high(Small-Intestine)
Peripheral Blood Neutrophil WK6-10 [Camp high] (MC20),Peripheral Blood,Neutrophil,WK6-10,Camp high,MC20,464,Neutrophil_Camp high(Peripheral_Blood)
Peripheral Blood NK cell WK6-10 [Gzma high] (MC20),Peripheral Blood,NK cell,WK6-10,Gzma high,MC20,319,NK cell_Gzma high(Peripheral_Blood)
Brain Granulocyte WK6-10 [Il33 high] (MC20),Brain,Granulocyte,WK6-10,Il33 high,MC20,16,Granulocyte_Il33 high(Brain)
Lung Alveolar macrophage WK6-10 [Pclaf high] (MC20),Lung,Alveolar macrophage,WK6-10,Pclaf high,MC20,36,Alveolar macrophage_Pclaf high(Lung)
Mesenchyme Ganglion cell E14.5 [Mapt high] (MC20),Mesenchyme,Ganglion cell,E14.5,Mapt high,MC20,110,Ganglion cell_Mapt high(Embryonic-Mesenchyme)
Pancreas Smooth muscle cell WK6-10 [Acta2 high] (MC20),Pancreas,Smooth muscle cell,WK6-10,Acta2 high,MC20,21,Smooth muscle cell_Acta2 high(Pancreas)
Stomach Macrophage WK6-10 (MC20),Stomach,Macrophage,WK6-10,,MC20,21,Macrophage(Stomach)
Rib B cell P1 (MC20),Rib,B cell,P1,,MC20,179,B cell(Neonatal-Rib)
Muscle T cell P1 (MC20),Muscle,T cell,P1,,MC20,59,T cell(Neonatal-Muscle)
Lung Club Cell WK6 (KO22),Lung,Club Cell,WK6,,KO22,1190,Club Cell(Lung)
Calvaria Preosteoblast/Osteoblast/Bone cell/Cartilage cell P1 (MC20),Calvaria,Preosteoblast/Osteoblast/Bone cell/Cartilage cell,P1,,MC20,5205,Preosteoblast/Osteoblast/Bone cell/Cartilage cell(Neonatal-Calvaria)
Muscle Tendon stem/progenitor cell P1 (MC20),Muscle,Tendon stem/progenitor cell,P1,,MC20,185,Tendon stem/progenitor cell(Neonatal-Muscle)
Lung Basal Cell WK6 (KO22),Lung,Basal Cell,WK6,,KO22,67,Basal cell(Lung)
